City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,maniitsoq,65.4167,-52.9,265.49,86,28,5.65,GL,1679420863
84,albany,42.6001,-73.9662,286.28,34,34,0.45,US,1679420850
85,koumra,8.9126,17.5539,303.37,42,61,0.39,TD,1679420864
86,bredasdorp,-34.5322,20.0403,292.01,78,13,4.11,ZA,1679420865
87,hassleholm,56.1591,13.7664,280.03,96,99,3.18,SE,1679420865
88,adrar,20.5022,-10.0711,303.71,8,0,2.37,MR,1679420866
89,tanout,14.9709,8.8879,299.25,45,88,5.54,NE,1679420867
90,aksay,47.26,39.87,285.51,65,84,4.02,RU,1679420867
91,saint george,37.1041,-113.5841,281.17,80,100,3.6,US,1679420774
92,inongo,-1.95,18.2667,297.42,81,88,1.73,CD,1679420868
93,aldan,58.6031,125.3894,244.23,100,100,1.08,RU,1679420868
94,kapaa,22.0752,-159.319,297.33,84,0,6.17,US,1679420868
95,beausoleil,43.749,7.417,286.14,88,75,3.09,FR,1679420869
96,mahebourg,-20.4081,57.7,299.31,83,20,1.03,MU,1679420869
97,qaanaaq,77.484,-69.3632,260.72,63,0,3.95,GL,1679420870
98,san cristobal,7.7669,-72.225,297.25,38,90,2.6,VE,1679420870
99,cabo san lucas,22.8909,-109.9124,301.27,64,0,0.45,MX,1679420870
100,flinders,-34.5833,150.8552,292.25,84,88,1.79,AU,1679420871
101,kristiansund,63.1115,7.732,277.18,75,75,3.09,NO,1679420871
102,pemberton,50.3164,-122.8027,280.67,89,100,0.65,CA,1679420709
103,popondetta,-8.7537,148.2534,296.57,97,97,0.9,PG,1679420871
104,kapuskasing,49.4169,-82.4331,262.2,52,0,2.57,CA,1679420872
105,filadelfia,39.9523,-75.1638,290.13,22,0,5.14,US,1679420572
106,kismayo,-0.3582,42.5454,300.77,77,55,6.17,SO,1679420872
107,new norfolk,-42.7826,147.0587,286.32,67,100,0.61,AU,1679420873
108,atar,20.5169,-13.0499,307.34,7,1,5.63,MR,1679420873
109,gravelbourg,49.8834,-106.5512,263.3,91,93,2.14,CA,1679420873
110,tuktoyaktuk,69.4541,-133.0374,263.15,85,100,5.66,CA,1679420874
111,hasaki,35.7333,140.8333,286.05,81,100,1.05,JP,1679420874
112,talaja,21.35,72.05,299.2,58,78,6.74,IN,1679420874
113,jamestown,42.097,-79.2353,284.83,35,0,5.66,US,1679420831
114,baoding,38.8511,115.4903,289.31,41,100,4.15,CN,1679420875
115,kahului,20.8947,-156.47,298.06,80,20,3.58,US,1679420875
116,mehamn,71.0357,27.8492,267.12,73,75,6.69,NO,1679420876
117,pouembout,-21.1333,164.9,295.57,89,64,2.22,NC,1679420876
118,castro,-24.7911,-50.0119,300.14,53,9,1.64,BR,1679420876
119,narsaq,60.9167,-46.05,279.27,70,42,3.67,GL,1679420877
